a,a,b,b,a,a,a,a,a,a,b,b,b,b,b,b,a,b,b,a,a,a,b,b,a
x,y,y,x,y,x,y,x,x,y,x,y,x,y,y,x,x,x,x,x,y,y,y,y,y
3,1,5,4,2,3,2,5,4,1,1,4,2,5,3,5,1,4,3,2,4,3,1,2,5
a,a,b,b,a,a,a,a,a,a,b,b,b,b,b,a,b,a,a,b,a,b,a,b,b
x,y,y,x,y,x,x,y,x,y,x,y,y,x,y,y,y,y,y,y,x,x,x,x,x
3,1,5,4,2,3,2,4,1,5,5,1,3,4,2,1,5,2,3,4,4,3,5,2,1
a,a,b,b,a,a,a,a,a,a,b,a,b,b,a,b,b,b,b,b,a,a,b,b,a
x,y,y,x,y,y,x,x,y,x,x,x,x,x,x,y,x,y,y,x,y,y,y,y,y
3,1,5,4,2,3,5,2,1,4,2,1,5,4,3,5,3,4,2,1,4,2,1,3,5
a,a,b,b,a,a,a,a,a,a,b,a,b,a,a,a,b,b,a,b,b,b,b,b,b
x,y,y,x,y,y,y,x,y,x,x,x,x,x,x,y,y,y,y,y,x,y,x,x,y
3,1,5,4,2,5,2,3,4,1,3,5,1,2,4,1,4,2,3,5,2,1,4,5,3
a,a,b,b,a,a,a,a,a,a,a,b,a,b,b,b,b,b,b,b,a,b,a,a,b
x,y,y,x,y,x,y,y,x,y,y,y,y,y,y,x,x,y,y,x,x,x,x,x,x
3,1,5,4,2,1,4,3,2,5,2,5,1,4,3,5,3,2,1,4,4,1,5,3,2
a,a,b,b,a,a,a,a,a,a,a,b,a,b,a,b,a,b,b,a,b,b,b,b,b
x,y,y,x,y,y,x,y,x,x,y,y,y,y,y,x,x,x,x,x,y,y,x,y,x
3,1,5,4,2,3,1,2,4,5,1,3,5,2,4,4,2,1,5,3,5,4,3,1,2
a,a,b,b,a,b,b,b,b,b,a,a,a,a,a,a,a,b,a,b,a,b,b,a,b
x,y,y,x,y,x,y,y,x,x,y,x,y,x,y,x,x,x,x,x,y,y,y,y,y
3,1,5,4,2,3,4,5,2,1,1,5,2,4,3,2,3,4,1,5,4,1,3,5,2
a,a,b,b,a,b,b,b,b,b,a,a,a,a,a,a,b,b,a,b,a,b,a,a,b
x,y,y,x,y,y,x,y,x,x,y,y,x,x,y,y,y,y,y,y,x,x,x,x,x
3,1,5,4,2,1,3,4,2,5,3,5,1,4,2,4,2,5,1,3,5,4,2,3,1
a,a,b,b,a,b,b,b,b,b,b,a,a,b,a,a,a,a,a,a,b,b,a,b,a
x,y,y,x,y,y,x,y,x,x,x,x,x,x,x,y,x,y,y,x,y,y,y,y,y
3,1,5,4,2,3,2,1,4,5,1,5,4,3,2,4,1,5,2,3,2,4,3,5,1
a,a,b,b,a,b,b,b,b,b,a,b,a,b,a,b,a,b,b,a,a,a,a,a,a
x,y,y,x,y,y,x,x,y,x,x,x,x,x,x,y,y,y,y,y,y,y,x,y,x
3,1,5,4,2,3,1,4,2,5,1,2,5,3,4,5,3,1,4,2,4,5,2,1,3
a,a,b,b,a,b,b,b,b,b,a,b,a,a,b,a,a,a,a,a,a,b,b,a,b
x,y,y,x,y,y,x,y,x,y,y,y,y,y,y,x,x,y,x,y,x,x,x,x,x
3,1,5,4,2,2,3,4,5,1,4,5,1,2,3,1,2,3,4,5,5,1,2,3,4
a,a,b,b,a,b,b,b,b,b,b,b,a,b,a,b,a,b,a,a,a,a,a,a,a
x,y,y,x,y,x,y,x,y,x,y,y,y,y,y,x,x,x,x,x,x,y,y,x,y
3,1,5,4,2,3,2,1,5,4,1,3,2,4,5,2,4,5,3,1,5,1,4,2,3
a,a,b,b,a,a,b,b,a,b,a,a,a,a,a,b,b,b,b,b,a,b,a,a,b
x,y,y,x,y,x,x,x,x,x,y,x,y,x,x,y,x,x,y,y,y,y,y,y,y
3,1,5,4,2,3,4,1,2,5,2,5,3,4,1,1,3,2,5,4,5,2,4,1,3
a,a,b,b,a,a,b,a,a,b,a,a,a,a,a,b,b,a,a,b,b,b,b,b,b
x,y,y,x,y,x,x,x,x,x,x,y,y,x,y,y,y,y,y,y,x,y,y,x,x
3,1,5,4,2,3,5,4,2,1,5,4,2,1,3,4,3,1,5,2,2,1,5,3,4
a,a,b,b,a,a,a,b,a,b,b,b,b,b,b,a,a,a,a,a,b,a,b,b,a
x,y,y,x,y,x,x,x,x,x,y,x,y,x,x,x,y,y,x,y,y,y,y,y,y
3,1,5,4,2,3,4,2,1,5,2,3,5,4,1,5,1,3,2,4,4,5,1,3,2
a,a,b,b,a,a,b,b,a,b,b,b,b,b,b,a,b,b,a,a,a,a,a,a,a
x,y,y,x,y,x,x,x,x,x,y,x,y,y,x,y,y,y,y,y,x,x,y,x,y
3,1,5,4,2,5,3,1,2,4,3,5,4,1,2,1,2,5,4,3,4,1,2,3,5
a,a,b,b,a,a,b,b,a,b,a,b,a,a,b,a,a,a,a,a,b,b,b,b,b
x,y,y,x,y,x,x,x,x,x,y,y,y,y,y,x,x,y,x,y,y,y,x,x,y
3,1,5,4,2,5,3,2,4,1,2,4,3,1,5,3,1,5,2,4,1,2,4,5,3
a,a,b,b,a,a,b,a,b,b,b,a,b,a,a,b,b,b,b,b,a,a,a,a,a
x,y,y,x,y,x,x,x,x,x,y,y,y,y,y,y,x,y,x,y,x,y,x,x,y
3,1,5,4,2,4,3,2,1,5,2,5,4,3,1,5,4,1,2,3,1,2,3,5,4
a,a,b,b,a,a,b,b,a,b,a,a,a,a,a,b,b,b,b,b,a,b,a,a,b
x,y,y,x,y,y,y,y,y,y,x,y,x,y,y,x,y,x,x,y,x,x,x,x,x
3,1,5,4,2,2,3,1,4,5,4,5,2,3,1,3,2,5,1,4,1,4,3,5,2
a,a,b,b,a,a,b,a,b,a,a,a,a,a,a,a,b,a,b,b,b,b,b,b,b
x,y,y,x,y,y,y,y,y,y,x,x,y,x,y,x,x,x,x,x,y,x,y,x,y
3,1,5,4,2,5,1,2,4,3,2,3,1,5,4,1,2,4,3,5,3,4,5,1,2
a,a,b,b,a,b,a,b,b,a,b,b,b,b,b,a,a,a,a,a,b,a,a,b,a
x,y,y,x,y,y,y,y,y,y,x,x,y,x,y,y,x,x,y,y,x,x,x,x,x
3,1,5,4,2,2,5,4,1,3,4,1,3,2,5,1,3,5,4,2,3,4,2,5,1
a,a,b,b,a,a,b,b,a,b,b,b,b,b,b,a,b,b,a,a,a,a,a,a,a
x,y,y,x,y,y,y,y,y,y,y,x,x,y,x,x,x,x,x,x,y,x,y,y,x
3,1,5,4,2,4,3,2,5,1,5,2,1,4,3,1,4,5,3,2,2,5,3,1,4
a,a,b,b,a,b,a,a,b,a,a,b,b,a,b,a,a,a,a,a,b,b,b,b,b
x,y,y,x,y,y,y,y,y,y,x,x,x,x,x,x,y,x,x,y,y,y,x,y,x
3,1,5,4,2,1,3,4,5,2,5,2,3,1,4,3,5,2,4,1,2,4,1,3,5
a,a,b,b,a,a,b,b,a,b,a,a,b,a,b,b,b,b,b,b,a,a,a,a,a
x,y,y,x,y,y,y,y,y,y,x,x,x,x,x,x,y,y,x,x,x,y,y,x,y
3,1,5,4,2,5,2,4,3,1,2,4,5,1,3,1,5,3,4,2,3,1,2,5,4